Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"NEO32"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"136.763mm"	,"67.5mm"	,"136.763mm"	,"67.5mm"	,"139.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO31"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"128.263mm"	,"67.5mm"	,"128.263mm"	,"67.5mm"	,"130.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO30"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"119.763mm"	,"67.5mm"	,"119.763mm"	,"67.5mm"	,"122.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO29"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"111.263mm"	,"67.5mm"	,"111.263mm"	,"67.5mm"	,"113.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO28"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"102.763mm"	,"67.5mm"	,"102.763mm"	,"67.5mm"	,"105.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO27"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"94.263mm"	,"67.5mm"	,"94.263mm"	,"67.5mm"	,"96.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO26"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"85.763mm"	,"67.5mm"	,"85.763mm"	,"67.5mm"	,"88.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO25"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"77.263mm"	,"67.5mm"	,"77.263mm"	,"67.5mm"	,"79.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO24"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"68.763mm"	,"67.5mm"	,"68.763mm"	,"67.5mm"	,"71.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO23"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"60.263mm"	,"67.5mm"	,"60.263mm"	,"67.5mm"	,"62.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
